Coromon,Type,Health Points,Attack,Special Attack,Defense,Special Defense,Speed,Stamina Points
Cubzero,Ice,90,131,98,109,119,88,34
Aroara,Ice,121,172,129,140,148,119,34
Bearealis,Ice,162,203,170,181,179,158,34
Toruga,Fire,80,99,121,90,102,132,34
Embaval,Fire,121,122,162,119,128,161,34
Volcadon,Fire,159,180,236,145,161,199,34
Nibblegar,Water,89,89,98,131,132,91,34
Sheartooth,Water,118,126,130,160,160,116,34
Megalobite,Water,158,166,168,204,214,156,34
Swurmy,Normal,81,67,36,58,36,98,34
Beezel,Normal,102,161,62,71,98,141,34
Humbee,Normal,142,247,89,91,174,185,34
Silquill,Normal,78,91,56,79,71,110,34
Gildwing,Normal,124,128,79,112,98,152,34
Golbeak,Normal,172,162,161,148,142,208,34
Slitherpin,Normal,81,132,90,88,124,124,34
Serpike,Normal,142,213,139,153,188,188,34
Houndos,Electric,92,119,161,59,97,132,34
Hountrion,Electric,162,188,230,98,148,197,34
Armado,Normal,68,161,59,203,51,59,34
Armadil,Normal,126,197,88,234,67,82,34
Armadon,Normal,168,246,112,266,129,88,34
Sanscale,Sand,121,143,108,121,102,127,34
Caradune,Sand,162,206,183,162,138,162,34
Bittybolt,Electric,80,68,102,144,105,132,34
Toravolt,Electric,134,141,246,194,168,174,34
Bloby,Fire,129,129,92,81,84,88,34
Molteye,Fire,177,188,139,108,110,112,34
Ashclops,Fire,216,252,194,122,124,128,34
Fiddly,Water,62,191,52,159,48,102,34
Ucaclaw,Water,143,278,128,245,104,148,34
Moffel,Sand,99,151,142,68,61,80,34
Digmow,Sand,128,172,164,94,84,106,34
Dugterra,Sand,158,230,221,111,118,142,34
Buzzlet,Electric,108,78,132,79,91,67,34
Bazzer,Electric,142,110,161,108,122,90,34
Rhynobuz,Electric,181,162,220,170,178,102,34
Lunarpup,Ghost,58,69,201,60,72,160,34
Lunarwulf,Ghost,89,98,233,92,107,191,34
Eclyptor,Ghost,120,130,261,121,152,223,34
Kryo,Ice,141,79,108,96,98,46,34
Krypeek,Ice,180,121,149,137,141,84,34
Krybeest,Ice,219,162,186,169,181,118,34
Bren,Fire,91,118,132,78,98,93,34
Pyrochick,Fire,91,118,132,78,98,93,34
Infinix,Fire,152,232,217,129,132,154,34
Acie,Electric,54,71,195,138,118,89,34
Deecie,Electric,105,120,256,188,195,144,34
Kyreptil,Sand,158,171,56,192,52,49,34
Kyraptor,Sand,202,288,78,266,61,68,34
Gella,Water,71,83,136,98,80,120,34
Gellish,Water,122,138,176,114,128,148,34
Gelaquad,Water,174,226,182,159,131,164,34
Skarbone,Sand,143,158,63,94,65,68,34
Skuldra,Sand,152,202,107,141,121,90,34
Skelatops,Sand,161,260,151,166,178,114,34
Droople,Ghost,110,88,78,92,76,84,34
Mudma,Ghost,155,124,109,144,121,112,34
Arcta,Ice,90,109,145,117,126,98,34
Arcturos,Ice,141,161,201,171,212,147,34
Seraphace,Ghost,138,92,122,97,129,70,34
Grimmask,Ghost,191,143,211,149,178,121,34
Squidma,Fire,76,78,101,67,198,142,34
Magmilus,Fire,159,139,161,130,246,201,34
Lumon,Electric,69,71,82,78,112,101,34
Lampyre,Electric,108,90,103,97,133,160,34
Lumasect,Electric,162,108,134,136,191,224,34
Patterbit,Normal,98,88,143,108,122,79,34
Pitterbyte,Normal,142,139,175,152,163,102,34
Cyberite,Normal,171,161,214,180,196,121,34
Decibite,Sand,65,142,81,208,72,67,34
Centilla,Sand,97,180,99,276,98,82,34
Millidont,Sand,126,194,120,359,148,98,34
Taddle,Water,78,96,83,78,78,181,34
Fibio,Water,138,158,127,94,88,181,34
Chonktoad,Water,178,188,151,194,182,142,34
Tinshel,Sand,92,88,81,161,109,87,34
Dunpod,Sand,144,141,93,223,121,104,34
Sandril,Sand,185,168,108,268,133,109,34
Blizzburd,Ice,102,122,127,93,122,84,34
Blizzian,Ice,183,194,182,179,176,118,34
Purrgy,Ghost,88,102,118,78,84,100,34
Ghinx,Ghost,117,131,157,116,128,129,34
Purrghast,Ghost,158,185,204,138,169,182,34
Gauslime,Electric,49,141,121,142,106,78,34
Magnamire,Electric,133,215,163,204,152,117,34
Quagoo,Water,81,88,141,141,108,121,64
Swampa,Water,143,147,212,204,167,183,64
Squidly,Ghost,48,39,212,31,111,181,34
Octotle,Ghost,82,68,262,84,276,214,34
Ruptius,Fire,88,66,132,111,128,68,34
Vulbrute,Fire,168,142,256,254,204,84,34
Mooby,Sand,68,72,64,68,68,68,34
Molbash,Sand,92,188,79,172,181,102,34
Malavite,Sand,160,242,97,188,240,124,34
Flowish,Water,74,118,68,74,91,138,34
Daricara,Water,192,241,159,163,197,161,34
Mino,Fire,71,122,98,61,98,140,34
Blazitaur,Fire,132,204,157,138,159,212,34
Frova,Ice,58,48,91,46,71,84,64
Froshell,Ice,86,65,115,104,152,92,64
Glamoth,Ice,150,139,253,128,226,161,64
Otogy,Ghost,148,121,143,58,68,49,34
Orotchy,Ghost,237,240,179,107,87,99,34
Shimshell,Water,58,132,88,202,49,78,34
Atlantern,Water,117,198,204,344,102,137,34
Dark Ucaclaw,Dark Magic,143,294,128,252,104,148,34
Dark Lumon,Dark Magic,69,71,82,78,112,101,34
Dark Lampyre,Dark Magic,108,90,103,97,133,160,34
Dark Lumasect,Dark Magic,162,108,134,136,191,224,34
Dark Centilla,Dark Magic,97,180,99,276,98,82,34
Dark Millidont,Dark Magic,126,194,120,359,148,98,34
Dark Arcta,Dark Magic,90,109,145,117,126,98,34
Dark Arcturos,Dark Magic,141,161,201,171,212,147,34